date,hostname,user,ip,logline
"
2017-03-30 15:54:20,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:20 ip-10-77-20-248 sshd[14358]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:23,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:23 ip-10-77-20-248 sshd[14360]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:26,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:26 ip-10-77-20-248 sshd[14362]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:29,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:29 ip-10-77-20-248 sshd[14364]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:32,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:32 ip-10-77-20-248 sshd[14366]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:35,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:35 ip-10-77-20-248 sshd[14368]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:38,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:38 ip-10-77-20-248 sshd[14370]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:41,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:41 ip-10-77-20-248 sshd[14372]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:44,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:44 ip-10-77-20-248 sshd[14374]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:47,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:47 ip-10-77-20-248 sshd[14376]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:50,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:50 ip-10-77-20-248 sshd[14378]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:53,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:53 ip-10-77-20-248 sshd[14380]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:56,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:56 ip-10-77-20-248 sshd[14382]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:54:59,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:54:59 ip-10-77-20-248 sshd[14384]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:02,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:02 ip-10-77-20-248 sshd[14386]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:06,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:06 ip-10-77-20-248 sshd[14388]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:08,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:08 ip-10-77-20-248 sshd[14390]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:11,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:11 ip-10-77-20-248 sshd[14392]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:14,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:14 ip-10-77-20-248 sshd[14394]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:18,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:18 ip-10-77-20-248 sshd[14396]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:21,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:21 ip-10-77-20-248 sshd[14398]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:24,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:24 ip-10-77-20-248 sshd[14400]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:27,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:27 ip-10-77-20-248 sshd[14402]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:30,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:30 ip-10-77-20-248 sshd[14404]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:33,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:33 ip-10-77-20-248 sshd[14406]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:36,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:36 ip-10-77-20-248 sshd[14408]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:39,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:39 ip-10-77-20-248 sshd[14410]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:42,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:42 ip-10-77-20-248 sshd[14412]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:45,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:45 ip-10-77-20-248 sshd[14414]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:49,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:49 ip-10-77-20-248 sshd[14416]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:52,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:52 ip-10-77-20-248 sshd[14418]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:55,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:55 ip-10-77-20-248 sshd[14420]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:55:58,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:55:58 ip-10-77-20-248 sshd[14422]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:02,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:02 ip-10-77-20-248 sshd[14424]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:05,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:05 ip-10-77-20-248 sshd[14426]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:07,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:07 ip-10-77-20-248 sshd[14428]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:10,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:10 ip-10-77-20-248 sshd[14430]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:14,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:14 ip-10-77-20-248 sshd[14432]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:17,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:17 ip-10-77-20-248 sshd[14434]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:19,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:19 ip-10-77-20-248 sshd[14436]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:22,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:22 ip-10-77-20-248 sshd[14438]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:26,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:26 ip-10-77-20-248 sshd[14440]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:28,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:28 ip-10-77-20-248 sshd[14444]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:31,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:31 ip-10-77-20-248 sshd[14514]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:34,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:34 ip-10-77-20-248 sshd[14516]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:37,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:37 ip-10-77-20-248 sshd[14518]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:40,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:40 ip-10-77-20-248 sshd[14520]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:43,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:43 ip-10-77-20-248 sshd[14522]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:46,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:46 ip-10-77-20-248 sshd[14524]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:49,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:49 ip-10-77-20-248 sshd[14526]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:52,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:52 ip-10-77-20-248 sshd[14528]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:55,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:55 ip-10-77-20-248 sshd[14530]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:56:58,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:56:58 ip-10-77-20-248 sshd[14532]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:02,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:02 ip-10-77-20-248 sshd[14534]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:05,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:05 ip-10-77-20-248 sshd[14536]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:08,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:08 ip-10-77-20-248 sshd[14538]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:11,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:11 ip-10-77-20-248 sshd[14540]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:13,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:13 ip-10-77-20-248 sshd[14542]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:16,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:16 ip-10-77-20-248 sshd[14544]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:19,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:19 ip-10-77-20-248 sshd[14546]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:22,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:22 ip-10-77-20-248 sshd[14548]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:25,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:25 ip-10-77-20-248 sshd[14550]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:28,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:28 ip-10-77-20-248 sshd[14552]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:32,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:32 ip-10-77-20-248 sshd[14554]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:35,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:35 ip-10-77-20-248 sshd[14556]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:37,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:37 ip-10-77-20-248 sshd[14558]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:40,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:40 ip-10-77-20-248 sshd[14560]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:44,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:44 ip-10-77-20-248 sshd[14562]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:46,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:46 ip-10-77-20-248 sshd[14564]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:49,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:49 ip-10-77-20-248 sshd[14566]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:52,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:52 ip-10-77-20-248 sshd[14568]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:56,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:56 ip-10-77-20-248 sshd[14570]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:57:59,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:57:59 ip-10-77-20-248 sshd[14572]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:58:01,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:58:01 ip-10-77-20-248 sshd[14574]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:58:04,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:58:04 ip-10-77-20-248 sshd[14576]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:58:08,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:58:08 ip-10-77-20-248 sshd[14578]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:58:11,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:58:11 ip-10-77-20-248 sshd[14580]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:58:14,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:58:14 ip-10-77-20-248 sshd[14582]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:58:16,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:58:16 ip-10-77-20-248 sshd[14584]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
"
2017-03-30 15:58:20,ip-10-77-20-248,elastic_user_0,24.151.103.17,"Mar 30 15:58:20 ip-10-77-20-248 sshd[14586]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=24.151.103.17  user=elastic_user_0
